datetime,customer_id,current_balance,lifetime_trip_count,avg_passenger_count,created
2022-12-04 13:00:00+00:00,20999,15.693957,15,2.3946166,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20999,10.332303,20,2.8253953,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20999,47.03319,26,1.1811934,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20999,11.362704,31,1.6421297,2022-12-11 13:20:15.698
2022-12-08 13:00:00+00:00,20999,15.276514,37,1.96497,2022-12-11 13:20:15.698
2022-12-09 13:00:00+00:00,20999,14.844421,42,2.612289,2022-12-11 13:20:15.698
2022-12-10 13:00:00+00:00,20999,10.122003,48,1.291318,2022-12-11 13:20:15.698
2022-12-04 13:00:00+00:00,20998,47.315796,19,1.0624769,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20998,34.953476,23,2.8928945,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20998,41.957607,27,1.2723002,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20998,22.192234,31,2.1489165,2022-12-11 13:20:15.698
2022-12-08 13:00:00+00:00,20998,11.611954,35,1.661605,2022-12-11 13:20:15.698
2022-12-09 13:00:00+00:00,20998,18.62416,39,2.0324755,2022-12-11 13:20:15.698
2022-12-10 13:00:00+00:00,20998,24.95505,44,1.1294957,2022-12-11 13:20:15.698
2022-12-04 13:00:00+00:00,20997,22.559916,12,1.2145215,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20997,49.59802,18,2.5050032,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20997,48.22557,24,1.0766923,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20997,37.407482,31,2.211411,2022-12-11 13:20:15.698
2022-12-08 13:00:00+00:00,20997,27.043516,37,2.2510128,2022-12-11 13:20:15.698
2022-12-09 13:00:00+00:00,20997,14.851108,43,2.7711468,2022-12-11 13:20:15.698
2022-12-10 13:00:00+00:00,20997,12.461726,50,1.0570749,2022-12-11 13:20:15.698
2022-12-04 13:00:00+00:00,20996,23.33751,18,1.1642369,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20996,49.964302,23,1.036543,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20996,13.608349,28,1.3327483,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20996,48.01163,33,1.1453288,2022-12-11 13:20:15.698
2022-12-08 13:00:00+00:00,20996,17.380198,38,2.4585147,2022-12-11 13:20:15.698
2022-12-09 13:00:00+00:00,20996,10.583249,43,1.689935,2022-12-11 13:20:15.698
2022-12-10 13:00:00+00:00,20996,31.704308,48,1.5988377,2022-12-11 13:20:15.698
2022-12-04 13:00:00+00:00,20995,49.808018,16,2.6122499,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20995,39.79551,21,2.807686,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20995,14.95168,26,1.1318758,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20995,13.080149,32,1.7266362,2022-12-11 13:20:15.698
2022-12-08 13:00:00+00:00,20995,40.81424,37,1.0649387,2022-12-11 13:20:15.698
2022-12-09 13:00:00+00:00,20995,41.722874,42,2.2461488,2022-12-11 13:20:15.698
2022-12-10 13:00:00+00:00,20995,13.114386,48,1.0262996,2022-12-11 13:20:15.698
2022-12-04 13:00:00+00:00,20994,31.891096,20,2.7121005,2022-12-11 13:20:15.698
2022-12-05 13:00:00+00:00,20994,29.75016,23,2.8832347,2022-12-11 13:20:15.698
2022-12-06 13:00:00+00:00,20994,15.087928,27,2.1367018,2022-12-11 13:20:15.698
2022-12-07 13:00:00+00:00,20994,26.566137,31,2.9693894,2022-12-11 13:20:15.698
