order_id,driver_id,customer_id,order_is_success,event_timestamp
100,50562,20001,1,2022-12-04 13:00:00+00:00
101,50408,20789,0,2022-12-04 13:00:30.242000+00:00
102,50148,20798,0,2022-12-04 14:01:00.483000+01:00
103,50033,20728,0,2022-12-04 05:01:30.725000-08:00
104,50838,20677,1,2022-12-04 13:02:00.966000+00:00
105,50759,20479,0,2022-12-04 13:02:31.208000+00:00
106,50793,20363,0,2022-12-04 14:03:01.449000+01:00
107,50464,20623,0,2022-12-04 05:03:31.691000-08:00
108,50116,20719,1,2022-12-04 13:04:01.932000+00:00
109,50687,20439,1,2022-12-04 13:04:32.174000+00:00
110,50990,20747,1,2022-12-04 14:05:02.415000+01:00
111,50002,20022,0,2022-12-04 05:05:32.657000-08:00
112,50585,20001,1,2022-12-04 13:06:02.898000+00:00
113,50526,20617,0,2022-12-04 13:06:33.140000+00:00
114,50892,20236,1,2022-12-04 14:07:03.381000+01:00
115,50427,20071,1,2022-12-04 05:07:33.623000-08:00
116,50156,20298,1,2022-12-04 13:08:03.864000+00:00
117,50727,20285,0,2022-12-04 13:08:34.106000+00:00
118,50203,20059,1,2022-12-04 14:09:04.347000+01:00
119,50150,20637,1,2022-12-04 05:09:34.589000-08:00
120,50061,20788,0,2022-12-04 13:10:04.830000+00:00
121,50287,20790,1,2022-12-04 13:10:35.072000+00:00
122,50039,20660,0,2022-12-04 14:11:05.313000+01:00
123,50157,20209,1,2022-12-04 05:11:35.555000-08:00
124,50977,20926,1,2022-12-04 13:12:05.796000+00:00
125,50170,20447,0,2022-12-04 13:12:36.038000+00:00
126,50035,20999,0,2022-12-04 14:13:06.279000+01:00
127,50110,20050,1,2022-12-04 05:13:36.521000-08:00
128,50809,20904,1,2022-12-04 13:14:06.762000+00:00
129,50391,20441,0,2022-12-04 13:14:37.004000+00:00
130,50527,20753,1,2022-12-04 14:15:07.245000+01:00
131,50110,20621,1,2022-12-04 05:15:37.487000-08:00
132,50361,20170,1,2022-12-04 13:16:07.728000+00:00
133,50955,20564,1,2022-12-04 13:16:37.970000+00:00
134,50264,20230,1,2022-12-04 14:17:08.211000+01:00
135,50022,20765,0,2022-12-04 05:17:38.453000-08:00
136,50645,20920,1,2022-12-04 13:18:08.694000+00:00
137,50440,20853,1,2022-12-04 13:18:38.936000+00:00
138,50140,20960,0,2022-12-04 14:19:09.177000+01:00
139,50096,20940,1,2022-12-04 05:19:39.419000-08:00
140,50237,20137,1,2022-12-04 13:20:09.660000+00:00
141,50222,20647,0,2022-12-04 13:20:39.902000+00:00
142,50410,20937,0,2022-12-04 14:21:10.144000+01:00
143,50332,20004,1,2022-12-04 05:21:40.385000-08:00
144,50562,20367,0,2022-12-04 13:22:10.627000+00:00
145,50581,20635,1,2022-12-04 13:22:40.868000+00:00
146,50900,20734,1,2022-12-04 14:23:11.110000+01:00
147,50624,20679,1,2022-12-04 05:23:41.351000-08:00
148,50451,20527,1,2022-12-04 13:24:11.593000+00:00
149,50732,20276,0,2022-12-04 13:24:41.834000+00:00
150,50020,20028,1,2022-12-04 14:25:12.076000+01:00
151,50961,20948,0,2022-12-04 05:25:42.317000-08:00
152,50176,20287,1,2022-12-04 13:26:12.559000+00:00
153,50986,20769,1,2022-12-04 13:26:42.800000+00:00
154,50300,20496,0,2022-12-04 14:27:13.042000+01:00
155,50547,20205,0,2022-12-04 05:27:43.283000-08:00
156,50868,20396,0,2022-12-04 13:28:13.525000+00:00
157,50890,20759,1,2022-12-04 13:28:43.766000+00:00
158,50585,20546,1,2022-12-04 14:29:14.008000+01:00
159,50807,20753,1,2022-12-04 05:29:44.249000-08:00
160,50469,20991,0,2022-12-04 13:30:14.491000+00:00
161,50889,20895,0,2022-12-04 13:30:44.732000+00:00
162,50232,20758,1,2022-12-04 14:31:14.974000+01:00
163,50559,20628,0,2022-12-04 05:31:45.215000-08:00
164,50260,20306,0,2022-12-04 13:32:15.457000+00:00
165,50237,20212,1,2022-12-04 13:32:45.698000+00:00
166,50408,20569,1,2022-12-04 14:33:15.940000+01:00
167,50554,20812,0,2022-12-04 05:33:46.181000-08:00
168,50969,20504,1,2022-12-04 13:34:16.423000+00:00
169,50612,20965,0,2022-12-04 13:34:46.664000+00:00
170,50520,20911,0,2022-12-04 14:35:16.906000+01:00
171,50644,20190,1,2022-12-04 05:35:47.147000-08:00
172,50255,20743,1,2022-12-04 13:36:17.389000+00:00
173,50093,20778,0,2022-12-04 13:36:47.630000+00:00
174,50837,20813,0,2022-12-04 14:37:17.872000+01:00
175,50406,20469,0,2022-12-04 05:37:48.113000-08:00
176,50603,20669,1,2022-12-04 13:38:18.355000+00:00
177,50275,20152,0,2022-12-04 13:38:48.596000+00:00
178,50221,20359,1,2022-12-04 14:39:18.838000+01:00
179,50630,20229,1,2022-12-04 05:39:49.079000-08:00
180,50766,20158,0,2022-12-04 13:40:19.321000+00:00
181,50768,20826,0,2022-12-04 13:40:49.562000+00:00
182,50141,20337,1,2022-12-04 14:41:19.804000+01:00
183,50885,20346,1,2022-12-04 05:41:50.046000-08:00
184,50709,20212,0,2022-12-04 13:42:20.287000+00:00
185,50475,20817,0,2022-12-04 13:42:50.529000+00:00
186,50523,20333,1,2022-12-04 14:43:20.770000+01:00
187,50903,20463,1,2022-12-04 05:43:51.012000-08:00
188,50655,20279,1,2022-12-04 13:44:21.253000+00:00
189,50804,20306,0,2022-12-04 13:44:51.495000+00:00
190,50338,20353,1,2022-12-04 14:45:21.736000+01:00
191,50750,20018,0,2022-12-04 05:45:51.978000-08:00
192,50086,20454,0,2022-12-04 13:46:22.219000+00:00
193,50531,20613,0,2022-12-04 13:46:52.461000+00:00
194,50036,20685,0,2022-12-04 14:47:22.702000+01:00
195,50059,20512,0,2022-12-04 05:47:52.944000-08:00
196,50367,20994,1,2022-12-04 13:48:23.185000+00:00
197,50396,20128,1,2022-12-04 13:48:53.427000+00:00
198,50420,20441,1,2022-12-04 14:49:23.668000+01:00
